,Date,User,text
26,2023-01-23 06:21:30+00:00,Shobana_29,"#Wipro has laid off more than 400 fresher employees for poor performance in internal assessment tests.
 The company has issued termination letters to all the affected employees and stated that despite adequate training, they have failed to perform. 
#layoffs"
27,2023-01-23 05:56:43+00:00,Ayyappan_1504,"#Wipro fired 452 Freshers due to Poor Performance after an Internal Test.

#Spotify to lay off employees amid deepening slowdown."
28,2023-01-23 05:00:52+00:00,iam_harish_v,"#wipro reportedly fired 452 freshers due to poor performances. 
#WiproLayoffs https://t.co/8A7PL45Vr8"
29,2023-01-23 04:50:32+00:00,Vishnu_talkzz,"#Wipro reportedly fired 452 freshers due to poor performances. It is also said to have waived off the Rs 75,000 training fee that it spent on training these freshers. https://t.co/BsJDGMuXpc"
30,2023-01-23 04:44:15+00:00,niveyshak,"#Wipro has fired 452 freshers on the ground of poor performance 
#TCS Tata Consultancy Services is set to offer consulting services on tech strategy for certain clients 

Awaiting official confirmation from company official circular https://t.co/G0rODSjoSk"
31,2023-01-23 04:42:02+00:00,isureshofficial,#Wipro reportedly fired 452 freshers due to poor performances. https://t.co/ScAhXEXH8q
32,2023-01-23 01:51:52+00:00,htTweets,"#Wipro reportedly fired 452 freshers due to poor performance

Read more- https://t.co/G12iQOTaki https://t.co/bajlNMdvHw"
33,2023-01-22 07:14:26+00:00,OscarCo9559098,"#layoffs2023 

It's layoff season again 💔

#startup #layoff #Google #Swiggy #Wipro #Jobs #UnemployedGraduates #India https://t.co/7y1PknTYHy"
34,2023-01-22 07:11:08+00:00,ElliotW2461127,"#layoffs2023 

It's layoff season again 💔

#startup #layoff #Google #Swiggy #Wipro #Jobs #UnemployedGraduates #India https://t.co/8Ixmt0R3RM"
35,2023-01-21 16:37:59+00:00,Dhivhere,"#wipro will layoff More than 450 freshers by saying poor performance in internal assessment test

#WiproLayoffs #layoffs2023"
36,2023-01-21 16:05:33+00:00,short_and_signi,"Tech Layoffs 2023: Globally, over 50,000 tech employees were fired in January 2023.   
[Must Watch]: https://t.co/udLwH7qIUQ 

#layoffs2023 #layoffs #layoff #Microsoft #Google #Wipro #Swiggy"
37,2023-01-21 14:47:44+00:00,HereWorks,"Tech giants around the world are on a ‘Layoff’ spree. 

#1ShotNews | #Layoff | #Google | #Wipro | #Swiggy | #Companies | #Jobs | #India https://t.co/kLVIgC5Ela"
38,2023-01-21 14:21:49+00:00,RahulKiran_G,"🚨Wipro has terminated over 452 trainees after they failed repeatedly in the internal tests. Aproximate 300 employees were fired last year for moonlighting.

Source: ET

#Wipro #WiproLayoffs #layoffs #jobcuts https://t.co/HqC14EAIyj"
39,2023-01-21 12:59:56+00:00,Onmanorama,"Sources explained the termination letter maintained that the employees were liable to pay Rs 75,000 of the training cost which company has spent on them. But, the amount is being waived off.

#wipro #wiprojobs #indianews

https://t.co/H0opZ2mILh"
40,2023-01-21 11:02:30+00:00,UMESHA102181,"#Wipro is the one of the worst IT Company in India. I Think the CEO of of @Wipro was the only CEO ,never tells about companies developments worst Leadership for onboarding take around year &amp; after joining Freshers were fired within a couple of months they decide candidate talent. https://t.co/JkUBgZ2Hrd"
41,2023-01-21 08:41:31+00:00,YTHISNEWS,"IT giant #Wipro has laid off more than 400 fresher employees for poor performance in internal assessment tests. Company has issued termination letters to all the affected employees and stated that despite adequate training, they have failed to perform.

https://t.co/AThaT1OKk8"
42,2023-01-21 07:39:09+00:00,imminent_news,"🇮🇳 The company has issued termination letters to all the affected employees and stated that despite adequate training, they have failed to perform.

#Wipro #Business #Technology #ITSector   #india #mostshared https://t.co/y0IDvOO5DT"
43,2023-01-21 07:32:46+00:00,dna,"Indian IT giant Wipro has issued termination letters to more than 400 employees. The employees fired by Wipro were freshers who failed to perform in internal assessment tests despite adequate training.

https://t.co/B6C3gHiaw3

#Wipro | #WiproLayoffs https://t.co/3Iij05VnBJ"
44,2023-01-21 06:48:46+00:00,TheDailyPioneer,"#layoffs2023: IT giant Wipro has laid off more than 400 fresher employees for poor performance in internal assessment tests. #Wipro #layoff #itgiant #employees
https://t.co/PJavEYvtDD"
45,2023-01-21 06:44:03+00:00,the_newsmen,". #IT giant #wipro has laid off more than 400 #fresher #employees for poor performance in internal assessment tests. #layoffs #layoff @Wipro 

https://t.co/2x8SKQDVdc"
46,2023-01-21 06:36:33+00:00,corporatebhakt,"Wipro sacks freshers; 452 employees fired after internal test

The termination letter sent by the company to the terminated employees. The letter noted that employees were liable to pay Rs 75,000 that the company spent on training them, but the company waived it off!

#Wipro"
47,2023-01-21 06:35:10+00:00,DeccanHerald,"The company has issued termination letters to all the affected employees and stated that despite adequate training, they have failed to perform.

#Wipro #Business #Technology #ITSector  https://t.co/SCfcIyWBHy"
48,2023-01-21 06:27:14+00:00,Anisha_Annamala,"#layoffs2023 

It's layoff season again 💔

#startup #layoff #Google #Swiggy #Wipro #Jobs #UnemployedGraduates #India https://t.co/0D7lfo7BUv"
49,2023-01-21 06:22:11+00:00,Rakesh14_Arora,"#layoff #layoffs 

Tech Giant #Wipro has laid off more than 400 fresher employees for poor performance in internal assessment tests.

Le Binod be like:- https://t.co/nREKGkXZiA"
50,2023-01-21 05:56:38+00:00,rajeshp403,#wipro fired  452 freshers for poor performance in internal tests 🙏🤦
51,2023-01-21 05:09:42+00:00,BizzBuzzNews,Wipro lays off over 400 freshers for poor performance #Wipro #fresheremployees #layoff #Poorperformance https://t.co/gQhZBtUiKa
52,2023-01-21 04:52:48+00:00,ThePuneMirror,"#Wipro has laid off more than 400 fresher employees for poor performance in internal assessment tests. The company has issued termination letters to all the affected employees and stated that despite adequate training, they have failed to perform. #layoffs https://t.co/kGzcu6svVy"
